Coal or metal,Commodity,Mine name,Mine type,Operator,Operator ID,State,Status
M ,Construction Sand and Gravel ,NELSON'S DIRT PIT,Surface,Nelson'S Dirt Pit  ,4104054,TX,Abandoned 
M ,Construction Sand and Gravel ,Eagle One,Surface,Nicholson Dirt Contracting  ,4801674,WY,Abandoned 
M ,Construction Sand and Gravel ,Rolling Glen Ranch Sand and Gravel,Surface,Nitty Gritty Dirt LLC  ,2402474,MT,Abandoned 
M ,Construction Sand and Gravel ,Calhoun And Mcguire Pit,Surface,Northest Louisiana Dirt Contractors  ,1600920,LA,Abandoned 
M ,"Crushed, Broken Limestone NEC ",Ed Meek Pit,Surface,Orvil Carter Dirt Contractor Inc  ,4102955,TX,Abandoned 
M ,"Crushed, Broken Limestone NEC ",Seitz Pit,Surface,Orvil Carter Dirt Contractor Inc  ,4103107,TX,Abandoned 
C ,Coal (Bituminous) ,No 1 Surface,Surface,P B Dirt Movers Inc  ,1512530,KY,Abandoned 
C ,Coal (Bituminous) ,No 5 Surface,Surface,P B Dirt Movers Inc  ,1515619,KY,Abandoned 
C ,Coal (Bituminous) ,Biggs No 1,Surface,P B Dirt Movers Inc  ,1518318,KY,Abandoned 
C ,Coal (Bituminous) ,No 1 Strip,Surface,P B Dirt Movers Inc  ,4405366,VA,Abandoned 
C ,Coal (Bituminous) ,No 2,Surface,P B Dirt Movers Inc  ,4407196,VA,Abandoned 
C ,Coal (Bituminous) ,Fedscreek Refuse Pile,Surface,P B Dirt Movers Inc.  ,1519685,KY,Abandoned 
C ,Coal (Bituminous) ,Fedscreek Surface,Surface,"P B Dirt Movers, Inc  ",1519799,KY,Active 
C , ,No. 3,Surface,"P B Dirt Movers, Inc.  ",4407379,VA,New Mine 
C ,Coal (Bituminous) ,No 2,Underground,P.B. Dirtmovers  ,4407003,VA,Abandoned* 
M ,Construction Sand and Gravel ,COUNTY FAIRE TEMP GRAVEL PIT,Surface,PAPA'S DIRT WORKES  ,2602570,NV,Abandoned 
M ,Construction Sand and Gravel ,Robison Mine,Surface,Paydirt Exc Inc  ,2402503,MT,Abandoned 
C ,Coal (Bituminous) ,Mine No. 6,Underground,PB Dirt Movers  ,4407296,VA,Temporarily Idled 
C ,Coal (Bituminous) ,Blair Face Up,Surface,PB Dirt Movers Inc.  ,1519273,KY,Abandoned 
C ,Coal (Bituminous) ,Surface Mine No. 1,Surface,"PB Dirt Movers, Inc  ",4407270,VA,Abandoned 
M ,Construction Sand and Gravel ,Peveto Pit,Surface,Peveto Dirt Pit  ,4102682,TX,Abandoned 
M ,Construction Sand and Gravel ,PIT #1,Surface,"Phil-Dirt Industries, Inc  ",0801259,FL,Abandoned 
M ,Construction Sand and Gravel ,Sandretto Drive,Surface,"Prescott Dirt, LLC  ",0203332,AZ,Intermittent 
M ,"Crushed, Broken Limestone NEC ",Martins Quarry,Surface,R & R Dirtworks  ,0302015,AR,Abandoned 
M ,Construction Sand and Gravel ,R D BLANKENSHIP DIRT WORK,Surface,R D Blankenship Dirt Work LLC  ,2901986,NM,Active 
M ,Construction Sand and Gravel ,Reeves Dirt Pit Incorporated,Surface,Reeves Dirt Pit Inc  ,1601127,LA,Abandoned 
M ,"Sand, Common ",River Bottom Dirt,Surface,River Bottom Dirt  ,4105017,TX,Abandoned 
M ,Construction Sand and Gravel ,Roe'S Dirt Pit,Surface,Roe'S Dirt Pit  ,1600986,LA,Abandoned 
M ,Construction Sand and Gravel ,Pine Ridge Pit,Surface,Russell Trest-Dirt Contractor  ,4103324,TX,Abandoned 
M ,Construction Sand and Gravel ,Stahr Portable Crusher,Surface,S J Stahr Dirt Movers Inc  ,4202013,UT,Abandoned 
M ,"Sand, Common ",Molino Pit,Surface,"Sand & Dirt, Inc  ",0801417,FL,Active 
M ,"Sand, Common ",CENTURY PIT,Surface,"Sand and Dirt, Inc.  ",0801371,FL,Abandoned 
M ,Construction Sand and Gravel ,Sierra Rock & Dirt Inc,Surface,"Sierra Rock & Dirt, Inc.  ",2402115,MT,Abandoned 
M ,Construction Sand and Gravel ,Simpson Sand and Gravel,Surface,Simpson Dirtworx llc  ,4300748,VT,Abandoned 
M ,Construction Sand and Gravel ,Pettibone Jaw Crusher,Surface,SIMPSON DIRTWORX LLC  ,4300768,VT,Intermittent 
M ,Construction Sand and Gravel ,Chieftan 1400,Surface,SIMPSON DIRTWORX LLC  ,4300776,VT,Intermittent 
M ,Construction Sand and Gravel ,SLAY PIT,Surface,Slay'S Dirt Hauling  ,0103209,AL,Abandoned 
M ,Construction Sand and Gravel ,Southside Dirt Pit,Surface,Southside Dirt Company  ,1601159,LA,Abandoned 
M ,Construction Sand and Gravel ,Mike's Money Pit,Surface,"Spry's Dirt & Gravel, Inc.  ",2302283,MO,Intermittent 
M ,Construction Sand and Gravel ,Stewart Pit,Surface,Stewart Dirt Pit  ,4102586,TX,Abandoned 
M ,"Crushed, Broken Stone NEC ",Stewart Dirt Work Inc - Hanna Pit,Surface,"Stewart Dirt Work, Inc.  ",4104475,TX,Abandoned 
M ,Construction Sand and Gravel ,Highway 642 Dirt Pit,Surface,Sweat'S Dirt Hauling Inc  ,3800617,SC,Abandoned 
M ,Construction Sand and Gravel ,Toler Roe Dirt Pit,Surface,Toler Roe Dirt Pit  ,1601234,LA,Abandoned 
M ,Construction Sand and Gravel ,La Calichera Pit,Surface,"Tres Palacios Dirt, Sand & Gravel  ",4104648,TX,Abandoned 
M ,Construction Sand and Gravel ,Crusher,Surface,Vogt Dirt Service  ,2103518,MN,Intermittent 
M ,Construction Sand and Gravel ,ADDISON LEASE,Surface,Watson Dirt Sand & Gravel Pit Inc  ,1601292,LA,Abandoned 
M ,Construction Sand and Gravel ,Y B Mine,Surface,Y B Dirt & Loam  ,4103429,TX,Abandoned 
M ,Construction Sand and Gravel ,Yarbrough Dirt Pit #1,Surface,Yarbrough Dirt Pit Inc  ,4103264,TX,Abandoned 
